iter,trained_ep,eval_ep,loss,baseline,delta_pct,added_at_iter,age_iters
30,30,27,0.066014,0.265995,-75.182302,6,24
30,30,141,0.035903,0.244327,-85.305316,7,23
30,30,147,0.064201,0.198697,-67.689149,8,22
30,30,276,0.049391,0.206509,-76.083092,9,21
30,30,309,0.051851,0.184420,-71.884118,10,20
30,30,177,0.041995,0.289985,-85.518400,11,19
30,30,209,0.045513,0.309657,-85.302199,12,18
30,30,149,0.069034,0.222820,-69.017989,13,17
30,30,122,0.064838,0.208075,-68.839068,14,16
30,30,106,0.063595,0.235061,-72.945335,15,15
30,30,269,0.049820,0.204388,-75.624955,16,14
30,30,164,0.036790,0.285251,-87.102403,17,13
30,30,51,0.066651,0.187272,-64.409286,18,12
30,30,308,0.049285,0.209464,-76.470630,19,11
30,30,167,0.051081,0.174749,-70.768890,20,10
30,30,303,0.047246,0.215074,-78.032493,21,9
30,30,270,0.055081,0.179518,-69.317253,22,8
30,30,119,0.047002,0.201180,-76.636654,23,7
30,30,13,0.061486,0.162966,-62.270928,24,6
30,30,123,0.036093,0.165192,-78.150861,25,5
30,30,53,0.064324,0.185485,-65.321307,26,4
30,30,281,0.039446,0.193876,-79.654197,27,3
30,30,31,0.071373,0.167776,-57.459163,28,2
30,30,91,0.047984,0.167332,-71.324307,29,1
30,30,30,0.030360,0.187949,-83.846653,30,0
30,30,forget,0.033169,0.020152,64.597274,0,-1
